id;title;short_description;long_description;image_url;artistname;makingday;status
1;Korean bypassing;edge cyan Market;Sharable;Handcrafted Orchestrator;driver Incredible solid;Soft Division;OK
2;program Manager;sky;Identity Tasty navigating;India platforms Soft;neural function;synthesizing interfaces;OK
3;dot-com;Rand;Sausages withdrawal;FTP generate Account;Rubber Buckinghamshire Toys;override Granite 인천;UPLOAD_PENDING
4;Synergistic distributed standardization;bypass THX bluetooth;bypass Fresh;동 azure;Fantastic 읍;면;DELETE_PENDING
5;microchip;Palladium Division;bus JSON;discrete;mobile;Berkshire;OK
6;functionalities frictionless 동;THX;protocol;면 Ball Product;leading-edge;encryption Designer;REVISION_PENDING
7;navigating;Salad Home;cross-platform;Chair;connect Group Optimized;target Legacy Frozen;DELETE_PENDING
8;Borders Small 충남;Sports Kroon Shirt;Lithuania neural Concrete;Tuna Buckinghamshire Global;logistical real-time Checking;e-tailers Central AI;UPLOAD_PENDING
9;innovate Communications;override Avon payment;Berkshire web-enabled;Borders;hacking blockchains backing;Computer 읍 leverage;OK
10;RSS;Car AGP;Personal architecture;Checking;Granite Programmable;frictionless logistical Architect;REVISION_PENDING
